rn,model_type,game_id,play_id,nfl_id,player_name,player_position,frame_id,pred_x,pred_y,gt_x,gt_y,error_l2,rmse,rmse_squared
0,neural_net,2023091001,1042,44854,Marcus Williams,FS,1,60.1729736328125,14.34075927734375,59.99,15.83,1.500439029191894,1.0609706122985485,1.1256586401611564
1,neural_net,2023091001,1042,44854,Marcus Williams,FS,2,59.9399528503418,14.251147270202637,59.56,15.83,1.6239273724127692,1.148290057187521,1.3185700554357205
2,neural_net,2023091001,1042,44854,Marcus Williams,FS,3,59.71396255493164,14.25066375732422,59.15,15.84,1.6864292026787826,1.1924855252051898,1.4220217278238974
3,neural_net,2023091001,1042,44854,Marcus Williams,FS,4,59.67559051513672,14.156800270080566,58.77,15.85,1.9201613230415884,1.35775909249484,1.8435097532524116
4,neural_net,2023091001,1042,44854,Marcus Williams,FS,5,59.56061935424805,14.15990924835205,58.41,15.86,2.0528598252703683,1.4515911032741085,2.107116731104544
5,neural_net,2023091001,1042,44854,Marcus Williams,FS,6,59.39279174804688,14.115992546081545,58.1,15.86,2.170915130340481,1.5350688100442318,2.3564362515706136
6,neural_net,2023091001,1042,44854,Marcus Williams,FS,7,59.369102478027344,14.082918167114258,57.85,15.83,2.315160311846291,1.6370655560404743,2.679983634774108
7,neural_net,2023091001,1042,44854,Marcus Williams,FS,8,59.1873893737793,14.117921829223633,57.65,15.77,2.2567517295806576,1.5957644514409526,2.546464184482644
8,neural_net,2023091001,1042,44854,Marcus Williams,FS,9,59.14248275756836,13.788941383361816,57.51,15.64,2.46807981151106,1.7451959712290863,3.045708977994235
9,neural_net,2023091001,1042,44854,Marcus Williams,FS,10,58.93465805053711,13.656798362731934,57.43,15.43,2.3255622751189198,1.6444208548082035,2.704119947728143
10,neural_net,2023091005,2670,44851,Marcus Maye,FS,1,43.539039611816406,26.22293281555176,44.62,26.65,1.1622657789226043,0.8218460138172381,0.6754308704272839
11,neural_net,2023091005,2670,44851,Marcus Maye,FS,2,43.82169723510742,26.623455047607425,44.91,27.42,1.3486611024475053,0.953647411063156,0.90944338462746
12,neural_net,2023091005,2670,44851,Marcus Maye,FS,3,44.39592361450195,27.138059616088867,45.2,28.19,1.3240533996099677,0.9362471375173096,0.8765587025093562
13,neural_net,2023091005,2670,44851,Marcus Maye,FS,4,44.29981994628906,27.73915672302246,45.49,28.98,1.7193663362622096,1.215775595714878,1.4781102991358668
14,neural_net,2023091005,2670,44851,Marcus Maye,FS,5,44.62770080566406,27.99567985534668,45.78,29.76,2.107277629097972,1.4900703013778869,2.220309503048386
